Sexo;Categoria;Tempo Final;Ritmo;Distancia
Feminino;35-39;0:26:18.14;05:16;5
Masculino;25-34;0:26:19.99;05:16;5
Masculino;40-44;0:26:20.18;05:16;5
Masculino;18-24;0:26:20.35;05:16;5
Masculino;40-44;0:26:20.58;05:16;5
Feminino;25-34;0:26:22.45;05:16;5
Masculino;25-34;0:26:25.13;05:17;5
Masculino;FF;0:26:31.07;05:18;5
Masculino;55-59;0:26:32.78;05:19;5
Masculino;25-34;0:26:32.94;05:19;5
Masculino;40-44;0:26:34.20;05:19;5
Masculino;40-44;0:26:35.91;05:19;5
Masculino;25-34;0:26:36.54;05:19;5
Masculino;25-34;0:26:36.88;05:19;5
Masculino;40-44;0:26:37.67;05:19;5
Masculino;35-39;0:26:38.41;05:20;5
Feminino;40-44;0:26:39.47;05:20;5
Masculino;25-34;0:26:39.76;05:20;5
Feminino;35-39;0:26:39.85;05:20;5
Feminino;40-44;0:26:40.49;05:20;5
Feminino;25-34;0:26:41.18;05:20;5
Masculino;25-34;0:26:41.60;05:20;5
Masculino;18-24;0:26:43.75;05:20;5
Masculino;60-64;0:26:47.08;05:22;5
Masculino;25-34;0:26:47.89;05:22;5
Masculino;35-39;0:26:48.28;05:22;5
Masculino;35-39;0:26:48.64;05:22;5
Feminino;40-44;0:26:54.94;05:23;5
Masculino;60-64;0:26:57.41;05:23;5
Masculino;18-24;0:26:59.20;05:24;5
Masculino;65-69;0:27:00.22;05:24;5
Masculino;FF;0:27:01.08;05:24;5
Feminino;45-49;0:27:01.44;05:24;5
Masculino;35-39;0:27:02.17;05:25;5
Feminino;40-44;0:27:02.82;05:25;5
Masculino;18-24;0:27:03.46;05:25;5
Masculino;25-34;0:27:04.48;05:25;5
Feminino;35-39;0:27:07.84;05:25;5
Masculino;25-34;0:27:08.01;05:26;5
Feminino;40-44;0:27:08.36;05:26;5
Masculino;25-34;0:27:08.91;05:26;5
Masculino;18-24;0:27:11.13;05:26;5
Masculino;40-44;0:27:11.47;05:26;5
Masculino;35-39;0:27:13.71;05:26;5
Masculino;35-39;0:27:14.23;05:27;5
Masculino;45-49;0:27:15.25;05:27;5
Masculino;60-64;0:27:15.49;05:27;5
Feminino;45-49;0:27:15.80;05:27;5
Feminino;25-34;0:27:18.31;05:28;5
Masculino;55-59;0:27:19.08;05:28;5
Masculino;40-44;0:27:19.08;05:28;5
Masculino;25-34;0:27:20.25;05:28;5
Feminino;40-44;0:27:24.39;05:29;5
Masculino;65-69;0:27:24.62;05:29;5
Feminino;40-44;0:27:28.13;05:29;5
Masculino;60-64;0:27:33.82;05:31;5
Masculino;25-34;0:27:39.11;05:32;5
Masculino;35-39;0:27:40.51;05:32;5
Masculino;60-64;0:27:41.64;05:32;5
Feminino;45-49;0:27:41.73;05:32;5
Feminino;35-39;0:27:43.26;05:32;5
Masculino;25-34;0:27:43.47;05:32;5
Feminino;50-54;0:27:44.34;05:33;5
Masculino;25-34;0:27:45.69;05:33;5
Feminino;35-39;0:27:46.26;05:33;5
Feminino;35-39;0:27:46.43;05:33;5
Masculino;35-39;0:27:47.36;05:34;5
Masculino;65-69;0:27:47.66;05:34;5
Masculino;40-44;0:27:48.29;05:34;5
Masculino;25-34;0:27:50.09;05:34;5
Feminino;18-24;0:27:53.65;05:35;5
Feminino;40-44;0:27:54.79;05:35;5
Masculino;40-44;0:27:55.10;05:35;5
Masculino;75+;0:27:55.70;05:35;5
Masculino;25-34;0:28:02.62;05:37;5
Masculino;55-59;0:28:04.81;05:37;5
Masculino;60-64;0:28:05.18;05:37;5
Masculino;35-39;0:28:09.32;05:38;5
Masculino;5K-PRFM;0:28:10.84;05:38;5
Masculino;50-54;0:28:12.26;05:38;5
Masculino;35-39;0:28:12.79;05:38;5
Masculino;60-64;0:28:13.50;05:38;5
Feminino;45-49;0:28:14.87;05:39;5
Masculino;65-69;0:28:15.90;05:39;5
Feminino;35-39;0:28:16.18;05:39;5
Masculino;25-34;0:28:16.47;05:39;5
Masculino;45-49;0:28:17.37;05:40;5
Masculino;40-44;0:28:18.10;05:40;5
Feminino;50-54;0:28:20.65;05:40;5
Masculino;35-39;0:28:22.73;05:40;5
Masculino;25-34;0:28:24.34;05:41;5
Feminino;18-24;0:28:26.64;05:41;5
Feminino;35-39;0:28:28.92;05:41;5
Masculino;45-49;0:28:28.95;05:41;5
Masculino;18-24;0:28:32.86;05:43;5
Masculino;65-69;0:28:33.97;05:43;5
Masculino;40-44;0:28:35.98;05:43;5
Masculino;25-34;0:28:37.58;05:43;5
Feminino;25-34;0:28:38.25;05:44;5
Masculino;18-24;0:28:39.82;05:44;5
Masculino;55-59;0:28:40.31;05:44;5
Feminino;25-34;0:28:43.35;05:44;5
Masculino;35-39;0:28:43.65;05:44;5
Masculino;35-39;0:28:44.97;05:45;5
Feminino;25-34;0:28:45.99;05:45;5
Feminino;55-59;0:28:46.31;05:45;5
Feminino;35-39;0:28:48.25;05:46;5
Masculino;50-54;0:28:49.62;05:46;5
Masculino;25-34;0:28:50.32;05:46;5
Feminino;5K-PRFF;0:28:51.00;05:46;5
Masculino;FF;0:28:52.34;05:46;5
Masculino;50-54;0:28:53.18;05:47;5
Masculino;40-44;0:28:53.54;05:47;5
Feminino;35-39;0:28:57.52;05:47;5
Feminino;25-34;0:28:57.81;05:47;5
Feminino;25-34;0:28:57.98;05:47;5
